typ,    seq#,  sec. ms,   mV,ev,^,pre, addr,i,dcc                       ,TCS,TS1,TS2,TCE,J1,J2,p,P,ch1   ,ch2
PKT,   37879, 5393.016,13600,00,f, 12, 1006,f,c3eea08d                  , 30,   ,196,454,  , 1, ,+,      ,5aac8e5aac8d
PKT,   37880, 5393.024,13600,00,f, 12, 1008,f,c3f0a093                  , 31,   ,197,454,  , 1, ,-,      ,5aac8e5aac8d
PKT,   37881, 5393.032,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37882, 5393.038,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37883, 5393.044,13600,00,f, 12, 1010,f,c3f280b1                  , 31,   ,185,454,  ,12, ,+,      ,0f0f
PKT,   37884, 5393.052,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37885, 5393.058,13400,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37886, 5393.064,13400,00,f, 12,  254,:,feff9d8d0312              , 27,   ,   ,460,  ,  , , ,      ,
PKT,   37887, 5393.074,13400,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37888, 5393.081,13400,00,f, 12, 1012,f,c3f480b7                  , 31,   ,186,454,  , 1, ,+,      ,0f0f
PKT,   37889, 5393.088,13400,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37890, 5393.094,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37891, 5393.100,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37892, 5393.107,13600,00,f, 12, 1004,S,c3ec3f8191                , 31,   ,197,454,  ,11, ,-,      ,55ac8b55acb1
PKT,   37893, 5393.116,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37894, 5393.122,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37895, 5393.128,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37896, 5393.134,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37897, 5393.140,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37898, 5393.146,13600,00,f, 12, 1006,S,c3ee3f8193                , 30,   ,196,454,  , 1, ,+,      ,59338b5933b1
PKT,   37899, 5393.155,13400,00,f, 12, 1008,S,c3f03f818d                , 30,   ,197,454,  , 1, ,-,      ,59338b5933b1
PKT,   37900, 5393.165,13600,00,f, 12,  253,#,fdf09d8d0300c5db          , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37901, 5393.178,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37902, 5393.184,13600,00,f, 12, 1010,S,c3f23f818f                , 31,   ,187,454,  ,10, ,+,      ,0f0f
PKT,   37903, 5393.193,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37904, 5393.200,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37905, 5393.206,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37906, 5393.212,13600,00,f, 12, 1012,S,c3f43f8189                , 31,   ,184,454,  , 3, ,+,      ,0f0f
PKT,   37907, 5393.221,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37908, 5393.227,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37909, 5393.233,13600,00,f, 12, 1004,f,c3ec80af                  , 31,   ,197,454,  ,13, ,-,      ,5aacb25ab8b4
PKT,   37910, 5393.241,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37911, 5393.247,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37912, 5393.253,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37913, 5393.259,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37914, 5393.265,13600,00,f, 12,  254,:,feff9d8d0312              , 26,   ,   ,460,  ,  , , ,      ,
PKT,   37915, 5393.276,13400,00,f, 12, 1006,f,c3ee80ad                  , 30,   ,196,454,  , 1, ,+,      ,5aacb25571b4
PKT,   37916, 5393.283,13600,00,f, 12, 1008,f,c3f080b3                  , 31,   ,197,454,  , 1, ,-,      ,5aacb25593b4
PKT,   37917, 5393.291,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37918, 5393.297,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37919, 5393.304,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37920, 5393.310,13600,00,f, 12, 1010,f,c3f2b081                  , 31,   ,187,454,  ,10, ,+,      ,0f0f
PKT,   37921, 5393.318,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37922, 5393.324,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37923, 5393.330,13600,00,f, 12, 1012,f,c3f4b087                  , 30,   ,184,454,  , 3, ,+,      ,0f0f
PKT,   37924, 5393.338,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37925, 5393.344,13600,00,f, 12,  255,i,ff00ff                    , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37926, 5393.350,13600,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
PKT,   37927, 5393.356,13600,00,f, 12, 1004,S,c3ec3f8191                , 31,   ,197,454,  ,13, ,-,      ,b2acac939572
PKT,   37928, 5393.365,13400,00,f, 12,  253,#,fdf09d8d0300c5db          , 30,   ,   ,454,  ,  , , ,      ,
PKT,   37929, 5393.379,13400,00,f, 12,  255,i,ff00ff                    , 31,   ,   ,454,  ,  , , ,      ,
