typ,    seq#,  sec. ms,   mV,ev,^,pre, addr,i,dcc                       ,TCS,TS1,TS2,TCE,J1,J2,p,P,ch1   ,ch2                    
PKT,   21076,  659.960,13100,00,f, 12,   51,S,333f818d                  , 31,   ,195,454,  , 2, ,-,      ,8eac                   
PKT,   21077,  659.968,13100,00,f, 12,   52,f,34a094                    , 31,   ,203,454,  , 8, ,-,      ,8eac                   
PKT,   21078,  659.975,13100,00,f, 12,   19,P,13e40700f0                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   21079,  659.984,13100,00,f, 12,   53,f,35a095                    , 31,   ,193,454,  ,10, ,-,      ,5aacac59a9d2           
PKT,   21080,  659.991,13100,00,f, 12,   54,S,363f8188                  , 31,   ,197,454,  , 4, ,-,      ,5aacac5ab45c           
PKT,   21081,  659.999,13100,00,f, 12,   56,f,38b088                    , 31,   ,198,454,  , 1, ,-,      ,5aacac                 
PKT,   21082,  660.006,13100,00,f, 12,   60,f,3ca09c                    , 31,   ,193,454,  , 5, ,-,      ,0f0f0f0f0f0f           
PKT,   21083,  660.012,13100,00,f, 12,   61,S,3d3f8183                  , 31,   ,193,454,  , 0, ,-,      ,f0f0                   
PKT,   21084,  660.020,13100,00,f, 12,   62,S,3e3f8180                  , 31,   ,203,454,  ,10, ,-,      ,f0                     
PKT,   21085,  660.028,13100,00,f, 12,   74,f,4aa0ea                    , 31,   ,198,454,  , 5, ,-,      ,0f0f                   
PKT,   21086,  660.035,13100,00,f, 12,   81,f,51b0e1                    , 31,   ,196,454,  , 2, ,-,      ,f0f0f0f0f0f0           
PKT,   21087,  660.041,13100,00,f, 12,  254,:,feffce4e0283              , 27,   ,   ,460,  ,  , , ,      ,                       
PKT,   21088,  660.052,13100,00,f, 12,   20,P,14e40700f7                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   21089,  660.061,13100,00,f, 12, 1002,S,c3ea3f8197                , 31,   ,197,454,  , 1, ,-,      ,5aacac5aac9a           
PKT,   21090,  660.071,13100,00,f, 12, 1003,f,c3eb80a8                  , 31,   ,197,454,  , 0, ,-,      ,5974935a7296           
PKT,   21091,  660.079,13100,00,f, 12, 1004,f,c3ecb09f                  , 31,   ,197,454,  , 0, ,-,      ,5aacac5aac9a           
PKT,   21092,  660.086,13100,00,f, 12, 1005,f,c3ed80ae                  , 31,   ,197,454,  , 0, ,-,      ,b2acacaab24b           
PKT,   21093,  660.094,13100,00,f, 12, 1006,S,c3ee3f8193                , 31,   ,197,454,  , 0, ,-,      ,5aac995aaa95           
PKT,   21094,  660.103,13100,00,f, 12, 1007,S,c3ef3f8192                , 31,   ,197,454,  , 0, ,-,      ,b2acacaab271           
PKT,   21095,  660.112,13100,00,f, 12, 1008,S,c3f03f818d                , 31,   ,197,454,  , 0, ,-,      ,5972935a7496           
PKT,   21096,  660.122,13100,00,f, 12, 1009,f,c3f180b2                  , 31,   ,197,454,  , 0, ,-,      ,b2acacaab2cc           
PKT,   21097,  660.130,13100,00,f, 12,   21,P,15e40700f6                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   21098,  660.139,13100,00,f, 12, 1010,S,c3f23f818f                , 31,   ,197,454,  , 0, ,-,      ,5972935a7296           
PKT,   21099,  660.149,13100,00,f, 12, 1011,f,c3f380b0                  , 31,   ,196,454,  , 1, ,-,      ,5aac8e5aac8d           
PKT,   21100,  660.157,13100,00,f, 12, 1012,S,c3f43f8189                , 31,   ,197,454,  , 1, ,-,      ,5aac8e5aac8d           
PKT,   21101,  660.166,13100,00,f, 12, 1013,S,c3f53f8188                , 31,   ,197,454,  , 0, ,-,      ,5aac655aac63           
PKT,   21102,  660.175,13100,00,f, 12,   51,f,33a093                    , 31,   ,195,454,  , 2, ,-,      ,8eac                   
PKT,   21103,  660.182,13100,00,f, 12,   52,S,343f818a                  , 31,   ,198,454,  , 3, ,-,      ,8eac                   
PKT,   21104,  660.190,13100,00,f, 12,   53,S,353f818b                  , 31,   ,195,454,  , 3, ,-,      ,5aacac                 
PKT,   21105,  660.198,13100,00,f, 12,   54,f,36b086                    , 31,   ,197,454,  , 2, ,-,      ,5aacac5aac9a           
PKT,   21106,  660.204,13100,00,f, 12,   22,P,16e40700f5                , 31,   ,   ,454,  ,  , , ,      ,                       
PKT,   21107,  660.214,13100,00,f, 12,   56,S,383f8186                  , 31,   ,196,454,  , 1, ,-,      ,5aacac                 
PKT,   21108,  660.222,13100,00,f, 12,   60,S,3c3f8182                  , 31,   ,193,454,  , 3, ,-,      ,0f0f0f0f0f0f           
PKT,   21109,  660.230,13100,00,f, 12,   61,f,3db08d                    , 31,   ,192,454,  , 1, ,-,      ,f0f0                   
